Comentario,Autor,URL_Video,Idioma,Fecha_Publicacion_Comentario,Polaridad,Subjetividad
tim walz is worst minnesota governor since,@Agent77X,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 23:50:38,-1.0,1.0
im democrat but i voted for trump today thank god i cant to my sens,@lucylee2338,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 23:19:50,0.0,0.0
youtube hiding this,@Joemondaking,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 23:10:53,0.0,0.0
so mispoke and then laughed about it and now this is news,@thatguygabe3488,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 22:54:05,0.7,0.2
interesting one of the queen of maga tucker carlson come out and say tim walz is gay and gay hating maga love it then tim walz us it against misogynist elon musk and every idiot scream cost them the gay vote get real gay american dont care because president vance will do everything to crucify them youre running year old man who you think will finish his term youve seen what desantis done in florida and vance same opinion,@LauraLetz-pu6rd,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 22:37:48,0.21750000000000003,0.48500000000000004
you know youre losing the debate when everything you say is ad hominem,@DeejayJeanP,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 21:57:29,0.0,0.0
trumpies will get mad at this and ignore the fact mentioned liz cheney having rifle pointed at her,@Huna98,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 21:33:36,-0.625,1.0
well need to be cancelled then such evil hypocrite and the audience is laughingsuch brainwashing and lack of selfawareness is unbelievable,@sasquatchintown,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 21:23:19,-0.4166666666666667,0.8333333333333334
pretty obvious what happens here lol someone in crowd say something while walz is speaking walz hears comment and get tongue tied walz responds to whatever the person in crowd say cmon people this is comical reach whats not reach is tucker carlson recently out of nowhere calling tim walz gay,@bangerbites8057,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 21:22:18,0.3277777777777778,0.6722222222222222
if trump said this ooooooohh boyy,@jek361,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 21:15:15,0.0,0.0
i didnt hear it didnt say it moving on,@GreenviewStudioGallery,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 21:15:01,0.0,0.0
im from minnesota we can not stand him liar,@christinetatge,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 21:02:04,0.0,0.0
you had an affair with jenna wang the daughter of top chinese communist party official you are disqualified to be vp,@jerryp.wilson2463,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 20:29:28,0.25,0.25
rigged,@BrandonMandel,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 19:41:55,0.0,0.0
first off it is clear that walz doe not respect anyone including lgbtq community labeling someone a gay to insult or diminish them only highlight bias against the lgbtq community and undermines any claim of equality second he attributing job loss during the covid pandemic to trump administration however it crucial to recognize the context the pandemic which may have originated from natural source or possibly from lab impacted the entire world dr fauci and public health official advised measure like maskwearing and social distancing to contain the virus spread and while these action had economic consequence they were implemented globally not just in the u here quick recap of the trump administration action during the pandemic travel restriction in january restriction on travel from china and other country were put in place to slow the virus spread federal guideline and task force the administration established task force and issued social distancing guideline but left specific mandate to individual state operation warp speed this initiative helped accelerate vaccine development leading to vaccine like pfizerbiontech and moderna economic relief package the care act provided economic support to individual and business to lessen the pandemic economic toll mask mandate and lockdown trump resisted national mandate citing concern about economic impact which led to tension with health expert who advocated for stricter measure it unfair to place the entire blame for job loss on trump a the pandemic unprecedented impact affected job worldwide largely due to shutdown aimed at protecting public health finally it disappointing to see constant namecalling and personal attack in politics instead of using divisive language or comparison to extreme figure politician should focus on solution for the country future addressing policy and plan respectfully reflects the professionalism expected in leadership simply blaming or labeling opponent accomplishes nothing and waste time on unproductive discourse,@diorvettsuggest1457,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 19:13:13,0.03638211382113821,0.3855400696864111
trump wa blowing mic last night lol,@marcrudolph2753,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 19:11:27,0.4,0.3833333333333333
these comment price the internet u dead and full of bot,@Shsbsbsjssbz,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 19:11:13,0.07499999999999998,0.47500000000000003
nothing burger,@marcrudolph2753,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 19:10:06,0.0,0.0
so musk broke the law failed to turn up in court trump make direct threat against senator against opponent against regular folk threat of death any other convicted felon like trump would be in prison for saying thing like that would get anyone else who is awaiting sentence information for the crime theyve been found guilty of including sexual assault would be in prison by now,@AndrewYouTubehandle,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 19:03:34,-0.08749999999999998,0.49754273504273505
to the lgbt community see this keep accusing trump for being homophobic when had gay wedding at his mar lago home,@ReflectingonReflection,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 18:33:28,0.4166666666666667,0.5833333333333334
great thing from bidan harris and they will get better harris walz a they focus on the middleclass out and not the uberwealthy oligarchy down muskthiel made it out of the pangamic without recession best economy on the globe unemployment low for more than year black worker unemployment low poverty rate low gas price low gallon real wage up stock market up personal saving up saving up the u is producing more energy than it is consuming,@brettricia1,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 18:30:22,0.24444444444444446,0.39017094017094006
tampon tim is great,@MikePanous,https://www.youtube.com/watch?v=Y2gpiK0dtdQ,,2024-11-02 18:26:08,0.8,0.75
